#"Steps"	"Temperature (K)"	"298K Weight"	"322.602K Weight"	"349.235K Weight"	"378.066K Weight"	"409.278K Weight"	"443.067K Weight"	"479.645K Weight"	"519.243K Weight"	"562.109K Weight"	"608.515K Weight"	"658.752K Weight"	"713.136K Weight"	"772.01K Weight"	"835.745K Weight"	"904.741K Weight"	"979.433K Weight"	"1060.29K Weight"	"1147.83K Weight"	"1242.59K Weight"	"1345.17K Weight"	"1456.22K Weight"	"1576.44K Weight"	"1706.59K Weight"	"1847.48K Weight"	"2000K Weight"
36000	409.278	0	0	-0.5	-2	-3	-4	-6	-8	-10	-11.5	-15	-17.5	-20	-22.5	-24.5	-29	-32	-34.5	-38	-40	-45	-47	-50	-53	-56.5
37000	443.067	0	-1	-1.5	-3	-3.5	-3.5	-5	-6	-7.5	-9	-12.5	-15	-17.5	-20	-22	-26.5	-29.5	-32	-35.5	-37.5	-42.5	-44.5	-47.5	-50.5	-54
38000	409.278	0	0.5	0	-0.5	-1	-0.5	-2	-3	-4	-4.5	-8	-10.5	-13	-15.5	-17.5	-22	-25	-27.5	-31	-33	-38	-40	-43	-46	-49.5
39000	608.515	0	0.5	1	0	0.5	-2	-2	-2.5	-4.5	-5.5	-6	-9	-11	-13.5	-15.5	-20	-23	-25.5	-29	-31	-36	-38	-41	-44	-47.5
40000	904.741	0	0.5	1	-0.5	0	-3	-2	-3.5	-5.5	-7.5	-9	-11.5	-13.5	-16	-17.5	-21	-23	-26	-29	-31	-36	-38	-41	-44	-47.5
41000	1847.48	0	0.5	1	-0.5	0	-3	-2	-3.5	-5.5	-7.5	-9	-11.5	-14	-16.5	-18.5	-21	-24	-27	-29.5	-34	-37	-40	-43.5	-48	-50.5
42000	835.745	0	0.5	1	-0.5	0	-3	-2	-3.5	-5.5	-7.5	-9.5	-13	-15	-18	-20.5	-23.5	-25.5	-29	-31.5	-34	-38	-41.5	-44.5	-48.5	-52
43000	479.645	0	0.5	1	-0.5	-0.5	-3	-3	-4.5	-6.5	-8.25	-10.5	-13.75	-15.75	-18.75	-21.5	-24.5	-26	-29.5	-32	-36	-38.5	-42	-45	-48.5	-52
44000	519.243	0	0.5	0.5	-0.75	-1.75	-3.75	-4.25	-6	-7.25	-9.75	-11.75	-14.25	-16	-18.75	-21.5	-24.75	-26	-29.5	-32	-36	-38.5	-42	-45	-48.5	-52
45000	298	0	0.5	-0.75	-1.5	-2.25	-4.25	-5.25	-6.75	-8	-10.25	-12	-14.25	-15.75	-19	-21.25	-24.5	-26	-29.25	-31.75	-35.75	-38.25	-41.75	-44.75	-48.25	-51.75
