#"Steps"	"Temperature (K)"	"298K Weight"	"322.602K Weight"	"349.235K Weight"	"378.066K Weight"	"409.278K Weight"	"443.067K Weight"	"479.645K Weight"	"519.243K Weight"	"562.109K Weight"	"608.515K Weight"	"658.752K Weight"	"713.136K Weight"	"772.01K Weight"	"835.745K Weight"	"904.741K Weight"	"979.433K Weight"	"1060.29K Weight"	"1147.83K Weight"	"1242.59K Weight"	"1345.17K Weight"	"1456.22K Weight"	"1576.44K Weight"	"1706.59K Weight"	"1847.48K Weight"	"2000K Weight"
259000	349.235	0	0.5625	0.546875	0.1875	-0.296875	-1.32812	-2.5	-3.95312	-5.40625	-7.28125	-9.09375	-10.9688	-13.3281	-15.5781	-18.25	-21.0156	-23.8125	-26.6406	-29.5312	-32.5	-35.7344	-38.7344	-42.0625	-45.5625	-48.9531
260000	519.243	0	0.515625	0.484375	0.140625	-0.359375	-1.42188	-2.53125	-4.04688	-5.45312	-7.35938	-9.14062	-10.9688	-13.3281	-15.5781	-18.25	-21.0312	-23.8125	-26.6406	-29.5312	-32.5	-35.7344	-38.7344	-42.0625	-45.5625	-48.9531
261000	322.602	0	0.46875	0.390625	0.015625	-0.484375	-1.51562	-2.54688	-4.0625	-5.5	-7.39062	-9.15625	-10.9844	-13.3281	-15.5781	-18.25	-21.0312	-23.8125	-26.6406	-29.5312	-32.5	-35.7344	-38.7344	-42.0625	-45.5625	-48.9531
262000	1060.29	0	0.46875	0.375	0.015625	-0.484375	-1.5625	-2.64062	-4.14062	-5.53125	-7.42188	-9.23438	-11.0781	-13.3594	-15.6406	-18.2969	-21.0312	-23.8281	-26.6406	-29.5312	-32.5	-35.7344	-38.7344	-42.0625	-45.5625	-48.9531
263000	1847.48	0	0.46875	0.375	0.015625	-0.484375	-1.5625	-2.64062	-4.14062	-5.53125	-7.42188	-9.23438	-11.0781	-13.3594	-15.6406	-18.2969	-21.0781	-23.9062	-26.6875	-29.6406	-32.6094	-35.8281	-38.8125	-42.0781	-45.6094	-48.9531
264000	1147.83	0	0.46875	0.375	0.015625	-0.484375	-1.5625	-2.64062	-4.14062	-5.53125	-7.42188	-9.23438	-11.0781	-13.3594	-15.6406	-18.2969	-21.1094	-23.9219	-26.7344	-29.6875	-32.6875	-35.9219	-38.9531	-42.1562	-45.6562	-49
265000	835.745	0	0.46875	0.375	0.015625	-0.484375	-1.5625	-2.65625	-4.15625	-5.5625	-7.5	-9.26562	-11.1719	-13.4219	-15.75	-18.375	-21.1406	-23.9375	-26.75	-29.7031	-32.7031	-35.9375	-38.9531	-42.1562	-45.6562	-49
266000	1060.29	0	0.46875	0.375	0.015625	-0.484375	-1.5625	-2.65625	-4.15625	-5.5625	-7.5	-9.26562	-11.1719	-13.4219	-15.8281	-18.4375	-21.1875	-24.0781	-26.8594	-29.7812	-32.75	-35.9688	-38.9688	-42.1719	-45.6562	-49
267000	1242.59	0	0.46875	0.375	0.015625	-0.484375	-1.5625	-2.65625	-4.15625	-5.5625	-7.5	-9.29688	-11.1875	-13.4688	-15.875	-18.5156	-21.2812	-24.2031	-26.8906	-29.875	-32.7656	-36	-38.9844	-42.1719	-45.6562	-49
268000	1706.59	0	0.46875	0.375	0.015625	-0.484375	-1.5625	-2.65625	-4.15625	-5.5625	-7.5	-9.29688	-11.1875	-13.4688	-15.875	-18.5156	-21.3438	-24.2188	-27	-29.9844	-32.8906	-36.0625	-39.0156	-42.25	-45.6719	-49.0156
269000	1847.48	0	0.46875	0.375	0.015625	-0.484375	-1.5625	-2.65625	-4.15625	-5.5625	-7.5	-9.29688	-11.1875	-13.4688	-15.875	-18.5469	-21.3438	-24.2812	-27.0312	-30.0156	-33.0156	-36.0938	-39.1719	-42.3125	-45.75	-49.0312
270000	2000	0	0.46875	0.375	0.015625	-0.484375	-1.5625	-2.65625	-4.15625	-5.5625	-7.5	-9.29688	-11.1875	-13.4688	-15.875	-18.5469	-21.3438	-24.2812	-27.0312	-30.0625	-33.0469	-36.1484	-39.2188	-42.4141	-45.8594	-49.2031
271000	2000	0	0.46875	0.375	0.015625	-0.484375	-1.5625	-2.65625	-4.15625	-5.5625	-7.5	-9.29688	-11.1875	-13.4688	-15.875	-18.5469	-21.3438	-24.2812	-27.0312	-30.0625	-33.0547	-36.1797	-39.2422	-42.4375	-45.9453	-49.3438
272000	1576.44	0	0.46875	0.375	0.015625	-0.484375	-1.5625	-2.65625	-4.15625	-5.5625	-7.5	-9.29688	-11.1875	-13.4688	-15.875	-18.5469	-21.3438	-24.2812	-27.0312	-30.0625	-33.0625	-36.1953	-39.2969	-42.5312	-46.0234	-49.4062
273000	1576.44	0	0.46875	0.375	0.015625	-0.484375	-1.5625	-2.65625	-4.15625	-5.5625	-7.5	-9.29688	-11.1875	-13.4688	-15.875	-18.5547	-21.3594	-24.2969	-27.0391	-30.0625	-33.0938	-36.2344	-39.3594	-42.5938	-46.0781	-49.4219
274000	562.109	0	0.46875	0.375	0.015625	-0.484375	-1.5625	-2.65625	-4.16406	-5.57812	-7.52344	-9.32031	-11.2188	-13.5156	-15.9141	-18.5938	-21.3594	-24.3047	-27.0625	-30.0781	-33.1094	-36.25	-39.3672	-42.5938	-46.0781	-49.4219
275000	378.066	0	0.4375	0.328125	-0.03125	-0.523438	-1.625	-2.69531	-4.19531	-5.58594	-7.52344	-9.32812	-11.2188	-13.5156	-15.9141	-18.5938	-21.3594	-24.3047	-27.0625	-30.0781	-33.1094	-36.25	-39.3672	-42.5938	-46.0781	-49.4219
276000	378.066	0	0.421875	0.304688	-0.0703125	-0.539062	-1.61719	-2.66406	-4.17188	-5.5625	-7.5	-9.29688	-11.2031	-13.4844	-15.8828	-18.5625	-21.3281	-24.2734	-27.0312	-30.0469	-33.0781	-36.2188	-39.3359	-42.5625	-46.0469	-49.3906
277000	519.243	0	0.40625	0.25	-0.0859375	-0.617188	-1.64062	-2.73438	-4.1875	-5.58594	-7.51562	-9.29688	-11.2031	-13.4844	-15.8828	-18.5625	-21.3281	-24.2734	-27.0312	-30.0469	-33.0781	-36.2188	-39.3359	-42.5625	-46.0469	-49.3906
278000	1060.29	0	0.40625	0.25	-0.0859375	-0.617188	-1.64062	-2.73438	-4.1875	-5.58594	-7.52344	-9.33594	-11.2188	-13.5078	-15.9453	-18.5859	-21.3594	-24.2969	-27.0547	-30.0703	-33.0938	-36.2266	-39.3516	-42.5625	-46.0469	-49.3906
279000	1242.59	0	0.40625	0.25	-0.0859375	-0.617188	-1.64062	-2.73438	-4.1875	-5.58594	-7.52344	-9.33594	-11.2266	-13.5156	-15.9453	-18.5938	-21.3828	-24.3125	-27.0703	-30.1406	-33.1406	-36.2812	-39.3906	-42.5859	-46.0469	-49.3906
280000	1345.17	0	0.40625	0.25	-0.0859375	-0.617188	-1.64062	-2.73438	-4.1875	-5.58594	-7.52344	-9.33594	-11.2266	-13.5156	-15.9453	-18.6016	-21.3984	-24.3203	-27.0938	-30.1797	-33.1797	-36.3594	-39.4141	-42.625	-46.0625	-49.4141
281000	2000	0	0.40625	0.25	-0.0859375	-0.617188	-1.64062	-2.73438	-4.1875	-5.58594	-7.52344	-9.33594	-11.2266	-13.5156	-15.9453	-18.6016	-21.3984	-24.3203	-27.1016	-30.1953	-33.2031	-36.3672	-39.4766	-42.6719	-46.1406	-49.4844
282000	1147.83	0	0.40625	0.25	-0.0859375	-0.617188	-1.64062	-2.73438	-4.1875	-5.58594	-7.52344	-9.33594	-11.2266	-13.5156	-15.9453	-18.6016	-21.3984	-24.3281	-27.1172	-30.2031	-33.2188	-36.3672	-39.4922	-42.6875	-46.25	-49.6094
283000	835.745	0	0.40625	0.25	-0.0859375	-0.617188	-1.64062	-2.73438	-4.1875	-5.59375	-7.53125	-9.375	-11.2578	-13.5391	-16	-18.6328	-21.4141	-24.3281	-27.125	-30.2109	-33.2656	-36.375	-39.5156	-42.6953	-46.25	-49.6094
284000	562.109	0	0.40625	0.25	-0.0859375	-0.625	-1.66406	-2.75781	-4.21094	-5.64844	-7.59375	-9.39844	-11.3281	-13.5547	-16.0078	-18.6328	-21.4141	-24.3281	-27.125	-30.2109	-33.2656	-36.375	-39.5156	-42.6953	-46.25	-49.6094
285000	443.067	0	0.40625	0.242188	-0.09375	-0.632812	-1.69531	-2.78906	-4.25781	-5.71094	-7.625	-9.4375	-11.3438	-13.5781	-16.0156	-18.6328	-21.4141	-24.3281	-27.125	-30.2109	-33.2656	-36.375	-39.5156	-42.6953	-46.25	-49.6094
286000	1147.83	0	0.40625	0.242188	-0.09375	-0.632812	-1.70312	-2.78906	-4.26562	-5.74219	-7.63281	-9.44531	-11.375	-13.6094	-16.0625	-18.6641	-21.4375	-24.3359	-27.1562	-30.2266	-33.2812	-36.3906	-39.5156	-42.6953	-46.25	-49.6094
287000	479.645	0	0.40625	0.242188	-0.09375	-0.632812	-1.70312	-2.80469	-4.27344	-5.78906	-7.65625	-9.44531	-11.4141	-13.6172	-16.0938	-18.7031	-21.4766	-24.3594	-27.1719	-30.2344	-33.2891	-36.3906	-39.5234	-42.6953	-46.25	-49.6094
288000	713.136	0	0.382812	0.21875	-0.117188	-0.671875	-1.73438	-2.80469	-4.27344	-5.8125	-7.67969	-9.46094	-11.4297	-13.6094	-16.0859	-18.6953	-21.4688	-24.3516	-27.1641	-30.2266	-33.2812	-36.3828	-39.5156	-42.6875	-46.2422	-49.6016
289000	378.066	0	0.382812	0.21875	-0.125	-0.671875	-1.73438	-2.80469	-4.30469	-5.86719	-7.73438	-9.50781	-11.4609	-13.6641	-16.1094	-18.7031	-21.4688	-24.3516	-27.1641	-30.2266	-33.2812	-36.3828	-39.5156	-42.6875	-46.2422	-49.6016
290000	349.235	0	0.367188	0.203125	-0.117188	-0.695312	-1.75	-2.80469	-4.28125	-5.85156	-7.70312	-9.48438	-11.4297	-13.6328	-16.0781	-18.6719	-21.4375	-24.3203	-27.1328	-30.1953	-33.25	-36.3516	-39.4844	-42.6562	-46.2109	-49.5703
291000	378.066	0	0.382812	0.21875	-0.109375	-0.703125	-1.71094	-2.75781	-4.25	-5.80469	-7.65625	-9.4375	-11.375	-13.5781	-16.0234	-18.6172	-21.3828	-24.2656	-27.0781	-30.1406	-33.1953	-36.2969	-39.4297	-42.6016	-46.1562	-49.5156
292000	479.645	0	0.375	0.203125	-0.117188	-0.6875	-1.67969	-2.73438	-4.21875	-5.76562	-7.60938	-9.39062	-11.3281	-13.5312	-15.9766	-18.5703	-21.3359	-24.2188	-27.0312	-30.0938	-33.1484	-36.25	-39.3828	-42.5547	-46.1094	-49.4688
293000	519.243	0	0.359375	0.195312	-0.140625	-0.695312	-1.6875	-2.76562	-4.25781	-5.78906	-7.67188	-9.41406	-11.3672	-13.5469	-15.9766	-18.5781	-21.3438	-24.2188	-27.0312	-30.0938	-33.1484	-36.25	-39.3828	-42.5547	-46.1094	-49.4688
294000	409.278	0	0.359375	0.195312	-0.148438	-0.71875	-1.72656	-2.78906	-4.28125	-5.86719	-7.70312	-9.45312	-11.3984	-13.5625	-15.9766	-18.5781	-21.3438	-24.2188	-27.0312	-30.0938	-33.1484	-36.25	-39.3828	-42.5547	-46.1094	-49.4688
295000	322.602	0	0.351562	0.171875	-0.164062	-0.75	-1.75781	-2.85156	-4.32812	-5.89844	-7.75	-9.46094	-11.3984	-13.5625	-15.9844	-18.5781	-21.3438	-24.2188	-27.0312	-30.0938	-33.1484	-36.25	-39.3828	-42.5547	-46.1094	-49.4688
296000	349.235	0	0.328125	0.140625	-0.226562	-0.820312	-1.77344	-2.875	-4.32812	-5.91406	-7.74219	-9.45312	-11.3906	-13.5547	-15.9766	-18.5703	-21.3359	-24.2109	-27.0234	-30.0859	-33.1406	-36.2422	-39.375	-42.5469	-46.1016	-49.4609
297000	378.066	0	0.320312	0.132812	-0.25	-0.84375	-1.78906	-2.92969	-4.35156	-5.96094	-7.75	-9.46094	-11.3906	-13.5469	-15.9688	-18.5625	-21.3281	-24.2031	-27.0156	-30.0781	-33.1328	-36.2344	-39.3672	-42.5391	-46.0938	-49.4531
298000	1060.29	0	0.320312	0.125	-0.25	-0.84375	-1.80469	-2.92969	-4.375	-5.97656	-7.76562	-9.52344	-11.4297	-13.5938	-16.0078	-18.5859	-21.3359	-24.2109	-27.0234	-30.0781	-33.1328	-36.2344	-39.3672	-42.5391	-46.0938	-49.4531
299000	979.433	0	0.320312	0.125	-0.25	-0.84375	-1.80469	-2.92969	-4.375	-5.97656	-7.76562	-9.53125	-11.4297	-13.6094	-16.0391	-18.6328	-21.375	-24.2656	-27.0508	-30.125	-33.1328	-36.2344	-39.375	-42.5391	-46.0938	-49.4531
300000	979.433	0	0.320312	0.125	-0.25	-0.84375	-1.80469	-2.92969	-4.375	-5.97656	-7.76953	-9.53125	-11.4297	-13.6133	-16.043	-18.6484	-21.3945	-24.2891	-27.0742	-30.1406	-33.1602	-36.2383	-39.3789	-42.5469	-46.0977	-49.4531
301000	1456.22	0	0.320312	0.125	-0.25	-0.84375	-1.80469	-2.92969	-4.375	-5.97656	-7.76953	-9.53516	-11.4375	-13.6367	-16.0508	-18.6523	-21.4102	-24.3086	-27.0938	-30.1523	-33.1758	-36.2422	-39.3828	-42.5547	-46.1016	-49.4609
302000	904.741	0	0.320312	0.125	-0.25	-0.84375	-1.80469	-2.92969	-4.375	-5.97656	-7.76953	-9.53516	-11.4375	-13.6367	-16.0586	-18.668	-21.4219	-24.3242	-27.1016	-30.1602	-33.1914	-36.2617	-39.3945	-42.5703	-46.1172	-49.4727
303000	979.433	0	0.320312	0.125	-0.25	-0.84375	-1.80469	-2.92969	-4.375	-5.97656	-7.76953	-9.53516	-11.4375	-13.6484	-16.0781	-18.6836	-21.4531	-24.3594	-27.125	-30.1641	-33.1953	-36.2695	-39.3984	-42.5703	-46.1172	-49.4727
304000	713.136	0	0.320312	0.125	-0.25	-0.84375	-1.80469	-2.92969	-4.38281	-5.97656	-7.77344	-9.53516	-11.4492	-13.668	-16.0977	-18.7148	-21.4766	-24.3711	-27.1406	-30.1719	-33.1992	-36.2695	-39.3984	-42.5703	-46.1172	-49.4727
305000	519.243	0	0.320312	0.117188	-0.257812	-0.851562	-1.80469	-2.9375	-4.40625	-5.98438	-7.79688	-9.54688	-11.4609	-13.6875	-16.1133	-18.7227	-21.4805	-24.3711	-27.1406	-30.1719	-33.1992	-36.2695	-39.3984	-42.5703	-46.1172	-49.4727
306000	443.067	0	0.3125	0.101562	-0.273438	-0.875	-1.83984	-2.96484	-4.41797	-5.99219	-7.80078	-9.54688	-11.4648	-13.6914	-16.1133	-18.7227	-21.4805	-24.3711	-27.1406	-30.1719	-33.1992	-36.2695	-39.3984	-42.5703	-46.1172	-49.4727
307000	322.602	0	0.292969	0.0703125	-0.304688	-0.886719	-1.85547	-2.99609	-4.43359	-5.99219	-7.80078	-9.54688	-11.4648	-13.6914	-16.1133	-18.7227	-21.4805	-24.3711	-27.1406	-30.1719	-33.1992	-36.2695	-39.3984	-42.5703	-46.1172	-49.4727
308000	409.278	0	0.289062	0.046875	-0.3125	-0.914062	-1.88281	-3.01172	-4.44531	-5.99219	-7.79688	-9.54297	-11.4609	-13.6914	-16.1094	-18.7188	-21.4766	-24.3672	-27.1367	-30.168	-33.1953	-36.2656	-39.3945	-42.5664	-46.1133	-49.4688
309000	409.278	0	0.289062	0.0585938	-0.328125	-0.929688	-1.88281	-3.01172	-4.46094	-5.98828	-7.78516	-9.53906	-11.4531	-13.6836	-16.1016	-18.707	-21.4648	-24.3555	-27.125	-30.1562	-33.1836	-36.2539	-39.3828	-42.5547	-46.1016	-49.457
310000	713.136	0	0.28125	0.046875	-0.339844	-0.945312	-1.90625	-3.01953	-4.46875	-5.98047	-7.77734	-9.53516	-11.4492	-13.6758	-16.0938	-18.6992	-21.457	-24.3477	-27.1172	-30.1484	-33.1758	-36.2461	-39.375	-42.5469	-46.0938	-49.4492
311000	772.01	0	0.28125	0.046875	-0.339844	-0.945312	-1.92188	-3.02734	-4.46875	-5.99219	-7.77734	-9.54688	-11.457	-13.6953	-16.1016	-18.7188	-21.4844	-24.3555	-27.1328	-30.1523	-33.1758	-36.2461	-39.375	-42.5469	-46.0938	-49.4492
312000	443.067	0	0.28125	0.046875	-0.339844	-0.949219	-1.93359	-3.03125	-4.47266	-5.99609	-7.78125	-9.5625	-11.4805	-13.7031	-16.1172	-18.7305	-21.5156	-24.3633	-27.1406	-30.1562	-33.1758	-36.2461	-39.375	-42.5469	-46.0938	-49.4492
313000	713.136	0	0.28125	0.046875	-0.339844	-0.949219	-1.93359	-3.03516	-4.47656	-5.99609	-7.78906	-9.57422	-11.5117	-13.7266	-16.1367	-18.7461	-21.5391	-24.3711	-27.1445	-30.1602	-33.1758	-36.2461	-39.375	-42.5469	-46.0938	-49.4492
314000	298	0	0.289062	0.0507812	-0.339844	-0.96875	-1.94922	-3.05078	-4.48438	-5.99609	-7.80469	-9.57031	-11.5078	-13.7227	-16.1289	-18.7383	-21.5352	-24.3633	-27.1367	-30.1523	-33.168	-36.2383	-39.3672	-42.5391	-46.0859	-49.4414
315000	608.515	0	0.289062	0.0507812	-0.355469	-0.980469	-1.96484	-3.05469	-4.50781	-6.00781	-7.83594	-9.59766	-11.5117	-13.7227	-16.1367	-18.7422	-21.5352	-24.3633	-27.1367	-30.1523	-33.168	-36.2383	-39.3672	-42.5391	-46.0859	-49.4414
316000	1706.59	0	0.289062	0.0507812	-0.355469	-0.980469	-1.96484	-3.05469	-4.50781	-6.01172	-7.84375	-9.60547	-11.5195	-13.7305	-16.1445	-18.7578	-21.543	-24.3633	-27.1484	-30.168	-33.168	-36.2422	-39.3906	-42.5625	-46.0938	-49.4453
317000	1456.22	0	0.289062	0.0507812	-0.355469	-0.980469	-1.96484	-3.05469	-4.50781	-6.01172	-7.84375	-9.60547	-11.5195	-13.7383	-16.1484	-18.7656	-21.5469	-24.3789	-27.1562	-30.1758	-33.1992	-36.2656	-39.4023	-42.5859	-46.0977	-49.4531
318000	1847.48	0	0.289062	0.0507812	-0.355469	-0.980469	-1.96484	-3.05469	-4.50781	-6.01172	-7.84375	-9.60547	-11.5195	-13.7383	-16.1484	-18.7656	-21.5469	-24.3828	-27.1641	-30.1836	-33.2031	-36.2852	-39.4297	-42.6289	-46.1289	-49.4648
319000	1576.44	0	0.289062	0.0507812	-0.355469	-0.980469	-1.96484	-3.05469	-4.50781	-6.01172	-7.84375	-9.60547	-11.5195	-13.7383	-16.1484	-18.7656	-21.5547	-24.3945	-27.1719	-30.1836	-33.2109	-36.3047	-39.457	-42.6562	-46.1562	-49.4844
320000	2000	0	0.289062	0.0507812	-0.355469	-0.980469	-1.96484	-3.05469	-4.50781	-6.01172	-7.84375	-9.60547	-11.5195	-13.7383	-16.1484	-18.7656	-21.5547	-24.3945	-27.1719	-30.1953	-33.2227	-36.3242	-39.4844	-42.6797	-46.1992	-49.5039
321000	1345.17	0	0.289062	0.0507812	-0.355469	-0.980469	-1.96484	-3.05469	-4.50781	-6.01172	-7.84375	-9.60547	-11.5195	-13.7461	-16.1484	-18.7656	-21.5586	-24.4023	-27.1953	-30.2109	-33.2461	-36.3438	-39.5039	-42.6953	-46.207	-49.5156
322000	608.515	0	0.289062	0.0507812	-0.355469	-0.980469	-1.96484	-3.05469	-4.50781	-6.01172	-7.85547	-9.60547	-11.5312	-13.7656	-16.1641	-18.7969	-21.5859	-24.4258	-27.2031	-30.2188	-33.2461	-36.3438	-39.5039	-42.6953	-46.207	-49.5156
323000	979.433	0	0.289062	0.0507812	-0.355469	-0.980469	-1.96484	-3.05469	-4.50781	-6.01172	-7.85547	-9.62109	-11.5352	-13.7812	-16.1875	-18.8438	-21.6094	-24.4453	-27.2109	-30.2188	-33.2461	-36.3438	-39.5039	-42.6953	-46.207	-49.5156
324000	658.752	0	0.289062	0.0507812	-0.355469	-0.980469	-1.96484	-3.05859	-4.50781	-6.01562	-7.85938	-9.62891	-11.5586	-13.8047	-16.2148	-18.8633	-21.6289	-24.4531	-27.2148	-30.2305	-33.2461	-36.3438	-39.5039	-42.6953	-46.207	-49.5156
325000	608.515	0	0.289062	0.0507812	-0.359375	-0.984375	-1.98828	-3.06641	-4.53125	-6.04688	-7.89062	-9.64062	-11.5664	-13.8164	-16.2148	-18.8633	-21.6289	-24.4531	-27.2148	-30.2305	-33.2461	-36.3438	-39.5039	-42.6953	-46.207	-49.5156
326000	519.243	0	0.289062	0.0507812	-0.363281	-0.988281	-1.99219	-3.07812	-4.54688	-6.0625	-7.91797	-9.64844	-11.6094	-13.832	-16.2227	-18.8633	-21.6289	-24.4531	-27.2148	-30.2305	-33.2461	-36.3438	-39.5039	-42.6953	-46.207	-49.5156
327000	322.602	0	0.277344	0.0429688	-0.367188	-0.976562	-1.98438	-3.08203	-4.53516	-6.04688	-7.89844	-9.62891	-11.5898	-13.8125	-16.2031	-18.8438	-21.6094	-24.4336	-27.1953	-30.2109	-33.2266	-36.3242	-39.4844	-42.6758	-46.1875	-49.4961
328000	479.645	0	0.285156	0.03125	-0.367188	-0.996094	-1.97266	-3.07812	-4.52344	-6.03125	-7.87891	-9.60938	-11.5703	-13.793	-16.1836	-18.8242	-21.5898	-24.4141	-27.1758	-30.1914	-33.207	-36.3047	-39.4648	-42.6562	-46.168	-49.4766
329000	658.752	0	0.285156	0.03125	-0.371094	-1.00391	-1.98047	-3.09375	-4.52734	-6.03516	-7.89062	-9.64453	-11.582	-13.8164	-16.1992	-18.832	-21.5898	-24.4141	-27.1836	-30.1914	-33.207	-36.3047	-39.4648	-42.6562	-46.168	-49.4766
330000	713.136	0	0.285156	0.03125	-0.371094	-1.00781	-1.98047	-3.09375	-4.53125	-6.05078	-7.90234	-9.66797	-11.6055	-13.8398	-16.2188	-18.8438	-21.5938	-24.418	-27.1836	-30.1992	-33.207	-36.3086	-39.4648	-42.6562	-46.168	-49.4766
331000	835.745	0	0.285156	0.03125	-0.371094	-1.00781	-1.98047	-3.09375	-4.53516	-6.05859	-7.91406	-9.67188	-11.6445	-13.8516	-16.2578	-18.8516	-21.6172	-24.4219	-27.1875	-30.1992	-33.207	-36.3086	-39.4648	-42.6562	-46.168	-49.4766
332000	519.243	0	0.285156	0.03125	-0.371094	-1.00781	-1.98047	-3.09375	-4.54688	-6.06641	-7.92188	-9.67578	-11.6758	-13.8828	-16.2656	-18.8711	-21.6367	-24.4375	-27.1875	-30.1992	-33.207	-36.3086	-39.4648	-42.6562	-46.168	-49.4766
333000	835.745	0	0.285156	0.03125	-0.375	-1.02344	-1.98438	-3.10547	-4.55469	-6.12891	-7.93359	-9.68359	-11.6914	-13.8945	-16.2695	-18.8711	-21.6367	-24.4375	-27.1875	-30.1992	-33.207	-36.3086	-39.4648	-42.6562	-46.168	-49.4766
334000	608.515	0	0.28125	0.0273438	-0.378906	-1.03906	-1.99609	-3.11719	-4.55859	-6.14453	-7.94922	-9.69922	-11.7188	-13.9023	-16.2891	-18.8711	-21.6367	-24.4375	-27.1875	-30.1992	-33.207	-36.3086	-39.4648	-42.6562	-46.168	-49.4766
335000	443.067	0	0.273438	0.0078125	-0.402344	-1.05859	-2.01953	-3.13672	-4.57031	-6.15234	-7.95312	-9.71875	-11.7188	-13.9023	-16.2891	-18.8711	-21.6367	-24.4375	-27.1875	-30.1992	-33.207	-36.3086	-39.4648	-42.6562	-46.168	-49.4766
336000	322.602	0	0.265625	-0.00195312	-0.398438	-1.04688	-2.00977	-3.12695	-4.55664	-6.13477	-7.93555	-9.70117	-11.7012	-13.8848	-16.2715	-18.8535	-21.6191	-24.4199	-27.1699	-30.1816	-33.1895	-36.291	-39.4473	-42.6387	-46.1504	-49.459
337000	443.067	0	0.259766	-0.00585938	-0.40625	-1.05273	-2.01758	-3.14062	-4.56445	-6.13867	-7.93555	-9.69922	-11.7012	-13.8828	-16.2695	-18.8516	-21.6172	-24.418	-27.168	-30.1797	-33.1875	-36.2891	-39.4453	-42.6367	-46.1484	-49.457
338000	378.066	0	0.253906	-0.0195312	-0.417969	-1.06641	-2.01953	-3.14844	-4.56641	-6.13867	-7.9375	-9.69727	-11.6992	-13.8809	-16.2676	-18.8496	-21.6152	-24.416	-27.166	-30.1777	-33.1855	-36.2871	-39.4434	-42.6348	-46.1465	-49.4551
339000	409.278	0	0.244141	-0.0117188	-0.414062	-1.06445	-2.01172	-3.14062	-4.55273	-6.12695	-7.92383	-9.68359	-11.6855	-13.8672	-16.2539	-18.8359	-21.6016	-24.4023	-27.1523	-30.1641	-33.1719	-36.2734	-39.4297	-42.6211	-46.1328	-49.4414
340000	479.645	0	0.244141	-0.0175781	-0.419922	-1.07812	-2.02148	-3.1543	-4.55664	-6.12695	-7.92188	-9.68555	-11.6875	-13.8652	-16.252	-18.834	-21.5996	-24.4004	-27.1504	-30.1621	-33.1699	-36.2715	-39.4277	-42.6191	-46.1309	-49.4395
341000	409.278	0	0.246094	-0.015625	-0.417969	-1.07812	-2.01758	-3.14648	-4.54883	-6.12109	-7.91016	-9.67578	-11.6758	-13.8555	-16.2402	-18.8223	-21.5879	-24.3887	-27.1387	-30.1504	-33.1582	-36.2598	-39.416	-42.6074	-46.1191	-49.4277
342000	378.066	0	0.251953	-0.0117188	-0.423828	-1.07812	-2.00586	-3.14258	-4.54883	-6.11328	-7.89844	-9.66406	-11.6641	-13.8438	-16.2285	-18.8105	-21.5762	-24.377	-27.127	-30.1387	-33.1465	-36.248	-39.4043	-42.5957	-46.1074	-49.416
343000	772.01	0	0.251953	-0.0136719	-0.425781	-1.08594	-2.00781	-3.15039	-4.55859	-6.13281	-7.9043	-9.66797	-11.6738	-13.8496	-16.2305	-18.8105	-21.5762	-24.377	-27.127	-30.1387	-33.1465	-36.248	-39.4043	-42.5957	-46.1074	-49.416
344000	713.136	0	0.251953	-0.0136719	-0.425781	-1.08594	-2.00781	-3.15234	-4.55859	-6.14844	-7.91797	-9.68164	-11.6875	-13.8574	-16.2383	-18.8125	-21.5781	-24.377	-27.127	-30.1387	-33.1465	-36.248	-39.4043	-42.5957	-46.1074	-49.416
345000	562.109	0	0.251953	-0.0136719	-0.427734	-1.08789	-2.01172	-3.15234	-4.56641	-6.1582	-7.93359	-9.69531	-11.6934	-13.8652	-16.2441	-18.8164	-21.5781	-24.377	-27.127	-30.1387	-33.1465	-36.248	-39.4043	-42.5957	-46.1074	-49.416
346000	835.745	0	0.251953	-0.0136719	-0.429688	-1.08789	-2.01367	-3.15234	-4.56641	-6.16211	-7.93359	-9.70898	-11.707	-13.8828	-16.25	-18.8242	-21.582	-24.3848	-27.127	-30.1387	-33.1465	-36.248	-39.4043	-42.5957	-46.1074	-49.416
347000	904.741	0	0.251953	-0.0136719	-0.429688	-1.08789	-2.01367	-3.15234	-4.56641	-6.16211	-7.93359	-9.71094	-11.7148	-13.8965	-16.2637	-18.832	-21.5898	-24.3906	-27.1348	-30.1465	-33.1504	-36.248	-39.4043	-42.5957	-46.1074	-49.416
348000	835.745	0	0.251953	-0.0136719	-0.429688	-1.08789	-2.01367	-3.15234	-4.56836	-6.16406	-7.9375	-9.72266	-11.7188	-13.8984	-16.2754	-18.8418	-21.6035	-24.3984	-27.1387	-30.1465	-33.1523	-36.252	-39.4043	-42.5957	-46.1074	-49.416
349000	562.109	0	0.251953	-0.0136719	-0.429688	-1.08789	-2.01562	-3.1543	-4.57227	-6.17773	-7.95117	-9.74219	-11.7285	-13.9062	-16.2793	-18.8438	-21.6035	-24.3984	-27.1387	-30.1465	-33.1523	-36.252	-39.4043	-42.5957	-46.1074	-49.416
350000	772.01	0	0.251953	-0.0136719	-0.429688	-1.08789	-2.01562	-3.1543	-4.57227	-6.17773	-7.95117	-9.74805	-11.7363	-13.9199	-16.293	-18.8516	-21.6152	-24.4102	-27.1406	-30.1484	-33.1543	-36.252	-39.4043	-42.5957	-46.1074	-49.416
